time,discipline,value
153,Role14_L56,113
153,Role14_L78,56
153,Role15_L12,169
153,Role15_L34,304
153,Role15_L56,135
153,Role15_L78,68
154,Role13_L12,113
154,Role13_L34,203
154,Role13_L56,90
154,Role13_L78,45
154,Role14_L12,141
154,Role14_L34,253
154,Role14_L56,113
154,Role14_L78,56
154,Role15_L12,169
154,Role15_L34,304
154,Role15_L56,135
154,Role15_L78,68
155,Role13_L12,113
155,Role13_L34,203
155,Role13_L56,90
155,Role13_L78,45
155,Role14_L12,141
155,Role14_L34,253
155,Role14_L56,113
155,Role14_L78,56
155,Role15_L12,169
155,Role15_L34,304
155,Role15_L56,135
155,Role15_L78,68
156,Role13_L12,113
156,Role13_L34,203
156,Role13_L56,90
156,Role13_L78,45
156,Role14_L12,141
156,Role14_L34,253
156,Role14_L56,113
156,Role14_L78,56
156,Role15_L12,169
156,Role15_L34,304
156,Role15_L56,135
156,Role15_L78,68
157,Role13_L12,113
157,Role13_L34,203
157,Role13_L56,90
157,Role13_L78,45
157,Role14_L12,141
157,Role14_L34,253
157,Role14_L56,113
157,Role14_L78,56
157,Role15_L12,169
157,Role15_L34,304
157,Role15_L56,135
157,Role15_L78,68
158,Role13_L12,113
158,Role13_L34,203
158,Role13_L56,90
158,Role13_L78,45
158,Role14_L12,141
158,Role14_L34,253
158,Role14_L56,113
158,Role14_L78,56
158,Role15_L12,169
158,Role15_L34,304
158,Role15_L56,135
158,Role15_L78,68
159,Role13_L12,113
159,Role13_L34,203
159,Role13_L56,90
159,Role13_L78,45
159,Role14_L12,141
159,Role14_L34,253
159,Role14_L56,113
159,Role14_L78,56
159,Role15_L12,169
159,Role15_L34,304
159,Role15_L56,135
159,Role15_L78,68
160,Role13_L12,113
160,Role13_L34,203
160,Role13_L56,90
160,Role13_L78,45
160,Role14_L12,141
160,Role14_L34,253
160,Role14_L56,113
160,Role14_L78,56
160,Role15_L12,169
160,Role15_L34,304
160,Role15_L56,135
160,Role15_L78,68
161,Role13_L12,113
161,Role13_L34,203
161,Role13_L56,90
161,Role13_L78,45
161,Role14_L12,141
161,Role14_L34,253
161,Role14_L56,113
161,Role14_L78,56
161,Role15_L12,169
161,Role15_L34,304
161,Role15_L56,135
161,Role15_L78,68
162,Role13_L12,113
162,Role13_L34,203
162,Role13_L56,90
162,Role13_L78,45
162,Role14_L12,141
162,Role14_L34,253
162,Role14_L56,113
162,Role14_L78,56
162,Role15_L12,169
162,Role15_L34,304
162,Role15_L56,135
162,Role15_L78,68
163,Role13_L12,113
163,Role13_L34,203
163,Role13_L56,90
163,Role13_L78,45
163,Role14_L12,141
163,Role14_L34,253
163,Role14_L56,113
163,Role14_L78,56
163,Role15_L12,169
163,Role15_L34,304
163,Role15_L56,135
163,Role15_L78,68
164,Role13_L12,113
164,Role13_L34,203
164,Role13_L56,90
164,Role13_L78,45
164,Role14_L12,141
164,Role14_L34,253
164,Role14_L56,113
164,Role14_L78,56
164,Role15_L12,169
164,Role15_L34,304
164,Role15_L56,135
164,Role15_L78,68
165,Role13_L12,113
165,Role13_L34,203
165,Role13_L56,90
165,Role13_L78,45
165,Role14_L12,141
165,Role14_L34,253
165,Role14_L56,113
165,Role14_L78,56
165,Role15_L12,169
165,Role15_L34,304
165,Role15_L56,135
165,Role15_L78,68
166,Role13_L12,113
166,Role13_L34,203
166,Role13_L56,90
166,Role13_L78,45
166,Role14_L12,141
166,Role14_L34,253
166,Role14_L56,113
166,Role14_L78,56
166,Role15_L12,169
166,Role15_L34,304
166,Role15_L56,135
166,Role15_L78,68
167,Role13_L12,113
167,Role13_L34,203
167,Role13_L56,90
167,Role13_L78,45
167,Role14_L12,141
167,Role14_L34,253
167,Role14_L56,113
167,Role14_L78,56
167,Role15_L12,169
167,Role15_L34,304
167,Role15_L56,135
167,Role15_L78,68
168,Role13_L12,113
168,Role13_L34,203
168,Role13_L56,90
168,Role13_L78,45
168,Role14_L12,141
168,Role14_L34,253
168,Role14_L56,113
168,Role14_L78,56
168,Role15_L12,169
168,Role15_L34,304
168,Role15_L56,135
168,Role15_L78,68
169,Role13_L12,113
169,Role13_L34,203
169,Role13_L56,90
169,Role13_L78,45
169,Role14_L12,141
169,Role14_L34,253
169,Role14_L56,113
169,Role14_L78,56
169,Role15_L12,169
169,Role15_L34,304
169,Role15_L56,135
169,Role15_L78,68
170,Role13_L12,113
170,Role13_L34,203
170,Role13_L56,90
170,Role13_L78,45
170,Role14_L12,141
170,Role14_L34,253
170,Role14_L56,113
170,Role14_L78,56
170,Role15_L12,169
170,Role15_L34,304
170,Role15_L56,135
170,Role15_L78,68
171,Role13_L12,113
171,Role13_L34,203
171,Role13_L56,90
171,Role13_L78,45
171,Role14_L12,141
171,Role14_L34,253
171,Role14_L56,113
171,Role14_L78,56
171,Role15_L12,169
171,Role15_L34,304
171,Role15_L56,135
171,Role15_L78,68
172,Role13_L12,113
172,Role13_L34,203
172,Role13_L56,90
172,Role13_L78,45
172,Role14_L12,141
172,Role14_L34,253
172,Role14_L56,113
172,Role14_L78,56
172,Role15_L12,169
172,Role15_L34,304
172,Role15_L56,135
172,Role15_L78,68
173,Role13_L12,113
173,Role13_L34,203
173,Role13_L56,90
173,Role13_L78,45
173,Role14_L12,141
173,Role14_L34,253
173,Role14_L56,113
173,Role14_L78,56
173,Role15_L12,169
173,Role15_L34,304
173,Role15_L56,135
173,Role15_L78,68
174,Role13_L12,113
174,Role13_L34,203
174,Role13_L56,90
174,Role13_L78,45
174,Role14_L12,141
174,Role14_L34,253
174,Role14_L56,113
174,Role14_L78,56
174,Role15_L12,169
174,Role15_L34,304
174,Role15_L56,135
174,Role15_L78,68
175,Role13_L12,113
175,Role13_L34,203
175,Role13_L56,90
175,Role13_L78,45
175,Role14_L12,141
175,Role14_L34,253
175,Role14_L56,113
175,Role14_L78,56
175,Role15_L12,169
175,Role15_L34,304
175,Role15_L56,135
175,Role15_L78,68
176,Role13_L12,113
176,Role13_L34,203
176,Role13_L56,90
176,Role13_L78,45
176,Role14_L12,141
176,Role14_L34,253
176,Role14_L56,113
176,Role14_L78,56
176,Role15_L12,169
176,Role15_L34,304
176,Role15_L56,135
176,Role15_L78,68
177,Role13_L12,113
177,Role13_L34,203
177,Role13_L56,90
177,Role13_L78,45
177,Role14_L12,141
177,Role14_L34,253
177,Role14_L56,113
177,Role14_L78,56
177,Role15_L12,169
177,Role15_L34,304
177,Role15_L56,135
177,Role15_L78,68
178,Role13_L12,113
178,Role13_L34,203
178,Role13_L56,90
178,Role13_L78,45
178,Role14_L12,141
178,Role14_L34,253
178,Role14_L56,113
178,Role14_L78,56
178,Role15_L12,169
178,Role15_L34,304
178,Role15_L56,135
178,Role15_L78,68
179,Role13_L12,113
179,Role13_L34,203
179,Role13_L56,90
179,Role13_L78,45
179,Role14_L12,141
179,Role14_L34,253
179,Role14_L56,113
179,Role14_L78,56
179,Role15_L12,169
179,Role15_L34,304
179,Role15_L56,135
179,Role15_L78,68
180,Role13_L12,113
180,Role13_L34,203
180,Role13_L56,90
180,Role13_L78,45
180,Role14_L12,141
180,Role14_L34,253
180,Role14_L56,113
180,Role14_L78,56
180,Role15_L12,169
180,Role15_L34,304
180,Role15_L56,135
180,Role15_L78,68
181,Role13_L12,113
181,Role13_L34,203
181,Role13_L56,90
181,Role13_L78,45
181,Role14_L12,141
181,Role14_L34,253
181,Role14_L56,113
181,Role14_L78,56
181,Role15_L12,169
181,Role15_L34,304
181,Role15_L56,135
181,Role15_L78,68
182,Role13_L12,113
182,Role13_L34,203
182,Role13_L56,90
182,Role13_L78,45
182,Role14_L12,141
182,Role14_L34,253
182,Role14_L56,113
182,Role14_L78,56
182,Role15_L12,169
182,Role15_L34,304
182,Role15_L56,135
182,Role15_L78,68
183,Role13_L12,113
183,Role13_L34,203
183,Role13_L56,90
183,Role13_L78,45
183,Role14_L12,141
183,Role14_L34,253
183,Role14_L56,113
183,Role14_L78,56
183,Role15_L12,169
183,Role15_L34,304
183,Role15_L56,135
183,Role15_L78,68
184,Role13_L12,113
184,Role13_L34,203
184,Role13_L56,90
184,Role13_L78,45
184,Role14_L12,141
184,Role14_L34,253
184,Role14_L56,113
184,Role14_L78,56
184,Role15_L12,169
184,Role15_L34,304
184,Role15_L56,135
184,Role15_L78,68
185,Role13_L12,113
185,Role13_L34,203
185,Role13_L56,90
185,Role13_L78,45
185,Role14_L12,141
185,Role14_L34,253
185,Role14_L56,113
185,Role14_L78,56
185,Role15_L12,169
185,Role15_L34,304
185,Role15_L56,135
185,Role15_L78,68
186,Role13_L12,113
186,Role13_L34,203
186,Role13_L56,90
186,Role13_L78,45
186,Role14_L12,141
186,Role14_L34,253
186,Role14_L56,113
186,Role14_L78,56
186,Role15_L12,169
186,Role15_L34,304
186,Role15_L56,135
186,Role15_L78,68
187,Role13_L12,113
187,Role13_L34,203
187,Role13_L56,90
187,Role13_L78,45
187,Role14_L12,141
187,Role14_L34,253
187,Role14_L56,113
187,Role14_L78,56
187,Role15_L12,169
187,Role15_L34,304
187,Role15_L56,135
187,Role15_L78,68
188,Role13_L12,113
188,Role13_L34,203
188,Role13_L56,90
188,Role13_L78,45
188,Role14_L12,141
188,Role14_L34,253
188,Role14_L56,113
188,Role14_L78,56
188,Role15_L12,169
188,Role15_L34,304
188,Role15_L56,135
188,Role15_L78,68
189,Role13_L12,113
189,Role13_L34,203
189,Role13_L56,90
189,Role13_L78,45
189,Role14_L12,141
189,Role14_L34,253
189,Role14_L56,113
189,Role14_L78,56
189,Role15_L12,169
189,Role15_L34,304
189,Role15_L56,135
189,Role15_L78,68
190,Role13_L12,113
190,Role13_L34,203
190,Role13_L56,90
190,Role13_L78,45
190,Role14_L12,141
190,Role14_L34,253
190,Role14_L56,113
190,Role14_L78,56
190,Role15_L12,169
190,Role15_L34,304
190,Role15_L56,135
190,Role15_L78,68
191,Role13_L12,113
191,Role13_L34,203
191,Role13_L56,90
191,Role13_L78,45
191,Role14_L12,141
191,Role14_L34,253
191,Role14_L56,113
191,Role14_L78,56
